"filename", "language", "JavaScript", "JSON with Comments", "JSON", "comment", "blank", "total"
"c:\Users\caspe\school\1DV610\assignments\L2-Module\babel.config.json", "JSON with Comments", 0, 12, 0, 2, 1, 15
"c:\Users\caspe\school\1DV610\assignments\L2-Module\package-lock.json", "JSON", 0, 0, 5931, 0, 1, 5932
"c:\Users\caspe\school\1DV610\assignments\L2-Module\package.json", "JSON", 0, 0, 19, 0, 1, 20
"c:\Users\caspe\school\1DV610\assignments\L2-Module\src\cart.js", "JavaScript", 29, 0, 0, 0, 8, 37
"c:\Users\caspe\school\1DV610\assignments\L2-Module\src\cartRules.js", "JavaScript", 51, 0, 0, 0, 18, 69
"c:\Users\caspe\school\1DV610\assignments\L2-Module\src\currencyManager.js", "JavaScript", 20, 0, 0, 0, 2, 22
"c:\Users\caspe\school\1DV610\assignments\L2-Module\src\discountCodes.js", "JavaScript", 5, 0, 0, 0, 0, 5
"c:\Users\caspe\school\1DV610\assignments\L2-Module\src\discountManager.js", "JavaScript", 61, 0, 0, 0, 12, 73
"c:\Users\caspe\school\1DV610\assignments\L2-Module\src\errors.js", "JavaScript", 14, 0, 0, 0, 1, 15
"c:\Users\caspe\school\1DV610\assignments\L2-Module\src\index.js", "JavaScript", 15, 0, 0, 0, 2, 17
"c:\Users\caspe\school\1DV610\assignments\L2-Module\src\validators.js", "JavaScript", 59, 0, 0, 0, 9, 68
"c:\Users\caspe\school\1DV610\assignments\L2-Module\tests\testCart.js", "JavaScript", 50, 0, 0, 0, 14, 64
"c:\Users\caspe\school\1DV610\assignments\L2-Module\tests\validators.test.js", "JavaScript", 91, 0, 0, 0, 20, 111
"Total", "-", 395, 12, 5950, 2, 89, 6448
